"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Event #","FITC-A","PE-A","(Event #%6) - 0.5 + (Event #/(69419 + 1))","Time"
12674.6,64315.9,12915,4849.2,64448.8,4931,223,100477,-27,-0.496802,0.651277
10735.4,70794.2,9938,6863.76,70615.9,6370,229,68527.4,34.5,-0.496716,0.651277
10115.2,69523.8,9535,5764.32,69252.2,5455,235,36558.7,31.5,-0.496629,0.653628
12617,75706.4,10922,7995.6,71751.3,7303,241,152190,23.25,-0.496543,0.653628
22023.7,71481,20192,10360.8,70494.8,9632,247,185258,34.5,-0.496456,0.654804
14051.8,66804.6,13785,7131.6,67219.4,6953,253,459.36,8.25,-0.49637,0.654804
10101.1,64077.7,10331,3955.68,64375.3,4027,259,13449.6,23.25,-0.496284,0.655979
7210.24,62085.2,7611,2936.16,63506.3,3030,271,34490.2,6,-0.496111,0.657155
13667.8,70050.5,12787,7153.92,70112.1,6687,277,65778.5,18.75,-0.496024,0.658331
19180.8,76896.9,16347,11703.6,71797,10683,289,93155,25.5,-0.495851,0.659506
23810.6,72595.9,21495,11726.6,70876.8,10843,295,122078,24.75,-0.495765,0.660682
12552.3,75429,10906,7632,71107.6,7034,301,62717.8,-7.5,-0.495678,0.660682
14907.5,69392.7,14079,7824.96,69657.2,7362,307,33050.2,21.75,-0.495592,0.661857
18578.6,72686.1,16751,9696.96,71061.2,8943,313,1269.36,11.25,-0.495506,0.664209
21491.8,66898.9,21054,10275.8,64567.4,10430,319,20389.7,-7.5,-0.495419,0.664209
18828.2,74162.9,16638,10134.7,70613.3,9406,325,140838,19.5,-0.495333,0.665384
10149.1,63539.6,10468,4542.48,63664.7,4676,331,4157.28,-9,-0.495246,0.66656
12220.8,65831.2,12166,6819.12,68605.8,6514,337,117230,2.25,-0.49516,0.66656
12845.4,70048.2,12018,6170.4,70229.8,5758,343,28063.4,22.5,-0.495073,0.667735
13091.8,74329.6,11543,7900.56,69752.3,7423,349,65759.8,46.5,-0.494987,0.668911
10600.3,64545.4,10763,6381.36,67301.1,6214,355,5619.6,32.25,-0.494901,0.670087
12730.2,70864.6,11773,7223.04,71055.1,6662,361,56907.4,1.5,-0.494814,0.671262
12857,71752.9,11743,6582.96,72349.6,5963,367,121466,55.5,-0.494728,0.672438
17033,66024.2,16907,7685.28,65123.2,7734,373,100871,50.25,-0.494641,0.672438
18318.7,68960.6,17409,9970.56,69322.2,9426,379,56515.7,20.25,-0.494555,0.673613
17801,69831.4,16706,11296.8,65878.9,11238,385,2898.72,15,-0.494468,0.674789
24961.9,78325.4,20886,16251.8,72523.5,14686,391,168288,7.5,-0.494382,0.675964
13073.9,65295.9,13122,5083.2,64336.2,5178,397,105257,26.25,-0.494296,0.675964
11667.2,78286.2,9767,8390.16,71568.1,7683,403,52827.8,6,-0.494209,0.67714
11058.6,73929.8,9803,6744.24,71128.2,6214,409,21761.3,21.75,-0.494123,0.678316
10603.5,70228.6,9895,5866.56,68716.9,5595,421,386.64,6.75,-0.49395,0.679491
11478.4,75420.9,9974,7236.72,72362.8,6554,427,36414,20.25,-0.493863,0.680667
28060.2,83577.3,22003,20567.5,76243.7,17679,433,160067,70.5,-0.493777,0.681842
26915.2,79807.9,22102,17892,72857.6,16094,439,2341.44,33,-0.493691,0.681842
11753.6,73556.5,10472,8707.68,70244.5,8124,445,43281.4,-9.75,-0.493604,0.684194
15059.2,65023,15178,5438.16,63744.5,5591,451,27519.1,0,-0.493518,0.685369
12044.8,64118.9,12311,3636.72,63743.3,3739,457,87907.7,13.5,-0.493431,0.685369
11185.9,69341.7,10572,6331.68,70188.3,5912,469,52319.5,-0.75,-0.493258,0.686545
10970.2,75124.9,9570,8562.96,72224.2,7770,481,33071,-21.75,-0.493086,0.68772
7874.56,62515.7,8255,3383.28,63532,3490,487,96074.6,-0.75,-0.492999,0.68772
8652.16,63610.9,8914,3006,63507.8,3102,493,64661,3,-0.492913,0.688896
22291.8,72090.7,20265,12011,71345.6,11033,499,1573.2,48,-0.492826,0.691247
9955.2,66710,9780,5862.24,69398.1,5536,505,688.32,8.25,-0.49274,0.691247
13125.1,78611.6,10942,8219.52,72334.4,7447,511,67984.6,29.25,-0.492653,0.693598
10647,72547.8,9618,7597.44,72097.6,6906,517,737.28,18.75,-0.492567,0.693598
11366.4,73775.2,10097,6454.8,70292.8,6018,523,13791.6,-9.75,-0.492481,0.69595
8951.68,63312.9,9266,3394.08,63881.2,3482,529,6855.12,3.75,-0.492394,0.697125
16290.6,68865.3,15503,8031.6,69532.2,7570,541,98400.2,38.25,-0.492221,0.699476
20772.5,74010.3,18394,12808.8,71417.2,11754,547,78051.6,0.75,-0.492135,0.700652
13638.4,72197.6,12380,6242.4,71521.3,5720,553,61066.1,0.75,-0.492048,0.700652
8903.04,64471.8,9050,2957.76,64142.9,3022,559,18936.7,12,-0.491962,0.701827
18218.9,73251.1,16300,10049.8,71996.2,9148,565,65703.6,28.5,-0.491876,0.703003
15195.5,67570.5,14738,8786.16,69224.6,8318,571,45866.9,37.5,-0.491789,0.703003
14465.3,71482.2,13262,6586.56,72050.9,5991,577,111234,3.75,-0.491703,0.704179
9443.2,70063.4,8833,5367.6,70452.8,4993,583,60410.2,19.5,-0.491616,0.705354
9177.6,67869.9,8862,5214.24,68756.6,4970,607,583.92,18.75,-0.491271,0.708881
16569.6,73555.9,14763,10208.9,71517.8,9355,613,76270.3,12.75,-0.491184,0.710057
9419.52,64230.3,9611,3096,64576.5,3142,619,73854.7,0.75,-0.491098,0.710057
12919.7,74109.8,11425,7262.64,73034.3,6517,625,25489.4,-3.75,-0.491011,0.711232
15907.2,71965.6,14486,10247,70055.3,9586,631,104931,14.25,-0.490925,0.711232
14502.4,74038.3,12837,7755.12,71492.4,7109,643,75103.9,33.75,-0.490752,0.713583
9655.04,64500.8,9810,3373.2,64077.1,3450,649,42904.1,18.75,-0.490666,0.713583
8762.24,71834.1,7994,5825.52,69884.9,5463,655,78136.6,20.25,-0.490579,0.714759
25654.4,81536.7,20620,16857.4,74185.1,14892,661,182884,39.75,-0.490493,0.714759
14301.4,75028.8,12492,7886.16,72680,7111,673,29796.5,38.25,-0.49032,0.71711
11810.6,75477,10255,6741.36,71512.1,6178,679,149864,7.5,-0.490233,0.718286
20028.2,72489.4,18107,9091.44,70611.1,8438,685,126786,-0.75,-0.490147,0.718286
8931.84,64367.4,9094,4147.92,64386.1,4222,691,48581.3,-19.5,-0.490061,0.719461
11703,64197.7,11947,4127.04,63940.8,4230,697,77688.7,-3,-0.489974,0.719461
9941.76,64695,10071,3880.08,64687.1,3931,703,86711.8,0,-0.489888,0.720637
10154.9,72157.7,9223,5922.72,70999,5467,715,38335,-6.75,-0.489715,0.722988
11961,64405,12171,4266,64314.8,4347,721,53189.3,-15,-0.489628,0.722988
22307.8,83698.8,17467,17943.1,77906.5,15094,727,1265.04,33,-0.489542,0.722988
16785.9,73643.2,14938,7933.68,71283.5,7294,733,234992,-13.5,-0.489455,0.724164
11945,63422.6,12343,3389.04,63694.9,3487,745,545.04,-21.75,-0.489283,0.726515
13456.6,67110.1,13141,9028.08,69468.6,8517,751,106740,18.75,-0.489196,0.72769
12045.4,64013.1,12332,4496.4,64735.5,4552,757,10473.1,6.75,-0.48911,0.728866
13521.9,70622.6,12548,8002.8,70645.4,7424,763,71032.3,13.5,-0.489023,0.730042
11015.7,64377,11214,3147.84,64266.9,3210,769,89913.6,3.75,-0.488937,0.730042
22540.8,67707.1,21818,9637.92,65399.7,9658,775,12210.5,36,-0.48885,0.731217
13754.9,65621.3,13737,5346,65146,5378,781,106216,29.25,-0.488764,0.732393
11150.1,70357.4,10386,7021.44,69196.6,6650,787,74399,31.5,-0.488678,0.733568
12494.7,65388,12523,5379.12,65586.2,5375,799,447.84,-2.25,-0.488505,0.734744
14891.5,66214.2,14739,6508.08,66528.4,6411,805,427.68,-11.25,-0.488418,0.73592
9150.72,64242.3,9335,2860.56,64935.8,2887,811,2571.84,3.75,-0.488332,0.737095
10352,70208.9,9663,7351.2,68569.4,7026,817,97951.7,1.5,-0.488245,0.738271
14537.6,65837.6,14471,4640.4,64773.9,4695,823,44061.8,20.25,-0.488159,0.738271
14840.3,76238.5,12757,7891.2,72573.4,7126,835,152171,33,-0.487986,0.740622
19152.6,75600,16603,14911.2,71153.4,13734,841,68544,18.75,-0.4879,0.740622
13730.6,73033.5,12321,7231.68,72589.3,6529,847,67229.3,27,-0.487813,0.741798
20135,73706.6,17903,11550.2,72325.3,10466,853,21519.4,20.25,-0.487727,0.741798
13449.6,64235,13722,3711.6,63977.8,3802,859,29042.6,-22.5,-0.48764,0.742973
21486.7,77845.9,18089,15608.2,72335.5,14141,865,109727,21.75,-0.487554,0.744149
11779.2,64100.5,12043,3044.16,63495.3,3142,871,34953.1,14.25,-0.487468,0.744149
22371.8,73802.5,19866,10822.3,72144.4,9831,877,204006,-2.25,-0.487381,0.745324
23127.7,74452.1,20358,17266.3,72212.2,15670,889,2534.4,-8.25,-0.487208,0.747675
27799,116092,15693,21453.1,94702.4,14846,895,98115.1,49.5,-0.487122,0.747675
12601,65302.6,12646,5688.72,66598.1,5598,901,23596.6,17.25,-0.487035,0.748851
20993.3,74312.2,18514,12508.6,71946.7,11394,907,174960,37.5,-0.486949,0.748851
17957.8,73688.5,15971,9291.6,71918.5,8467,913,79603.2,15,-0.486863,0.750027
14375,72295.5,13031,7903.44,71670.1,7227,919,485.28,38.25,-0.486776,0.751202
15127.7,79148,12526,8887.68,75273.1,7738,931,195080,47.25,-0.486603,0.753553
16524.2,73794,14675,6228,70627.8,5779,937,136161,-9.75,-0.486517,0.753553
16396.8,77935.9,13788,11339.3,73402.9,10124,943,185192,20.25,-0.48643,0.755905
12853.1,65257.4,12908,4163.76,63756.1,4280,949,35571.6,-9.75,-0.486344,0.755905
13646.7,74097.1,12070,8835.84,69884.8,8286,955,16263.4,31.5,-0.486258,0.75708
16633.6,72823.8,14969,8758.08,69546.8,8253,961,70783.9,30,-0.486171,0.75708
11666.6,69261.7,11039,6320.16,68349.5,6060,967,60089,34.5,-0.486085,0.758256
21585.9,77677.1,18212,17120.2,74739.3,15012,979,1081.44,47.25,-0.485912,0.760607
9771.52,63974.7,10010,3988.08,63762.6,4099,985,30672,2.25,-0.485825,0.760607
13523.2,76283,11618,8658.72,70985.5,7994,991,1021.68,-16.5,-0.485739,0.761783
9355.52,68268.9,8981,5130,70423.1,4774,997,68060.2,21.75,-0.485653,0.762958
14706.6,77657.6,12411,8923.68,71898.5,8134,1003,193015,26.25,-0.485566,0.762958
14192.6,75681.8,12290,7282.08,71336.1,6690,1009,195877,28.5,-0.48548,0.764134
12825.6,75337.3,11157,7465.68,72409.5,6757,1015,97107.8,12.75,-0.485393,0.765309
13769.6,67253.3,13418,6641.28,68102.5,6391,1027,72778.3,-9,-0.48522,0.766485
15127.7,64465,15379,4788,63894.6,4911,1033,24728.4,15.75,-0.485134,0.767661
11921.9,64791,12059,4030.56,64144.4,4118,1039,85893.8,27.75,-0.485048,0.767661
12723.8,76607.2,10885,8094.24,69660.4,7615,1045,68330.9,3.75,-0.484961,0.768836
11187.2,66391.8,11043,5119.2,67435.6,4975,1051,14800.3,18.75,-0.484875,0.770012
15448.3,76173.4,13291,7585.2,71525.7,6950,1057,165060,30,-0.484788,0.770012
14794.2,66815.2,14511,6920.64,68615.9,6610,1063,106894,-14.25,-0.484702,0.772363
15765.1,72341.6,14282,7301.52,71515.8,6691,1069,162902,42,-0.484615,0.773539
18663.7,67091.4,18231,8300.16,65293.4,8331,1075,454.32,2.25,-0.484529,0.773539
18857,76087.3,16242,11584.1,71471.9,10622,1081,113751,7.5,-0.484443,0.774714
10453.8,65378.1,10479,4901.04,64940.3,4946,1099,344.88,15.75,-0.484183,0.778241
15594.2,76829.4,13302,8744.4,72193.6,7938,1105,102827,28.5,-0.484097,0.779417
14163.8,75682.1,12265,8907.84,70761.7,8250,1117,148280,22.5,-0.483924,0.780592
18884.5,73993.4,16726,11510.6,71476.4,10554,1123,27759.6,16.5,-0.483838,0.781768
10423,65260.8,10467,3713.04,65998.9,3687,1129,67100.4,-7.5,-0.483751,0.782943
13997.4,66363,13823,4863.6,65075.7,4898,1135,423.36,30,-0.483665,0.784119
18528,71870.4,16895,7601.04,70259.8,7090,1141,100377,-11.25,-0.483578,0.784119
18123.5,66689.7,17810,6549.84,64316.8,6674,1147,28648.8,-8.25,-0.483492,0.785294
19149.4,74736.6,16792,11011,72567.8,9944,1153,142186,32.25,-0.483405,0.785294
16780.2,75920.2,14485,10123.9,71696.7,9254,1159,25546.3,38.25,-0.483319,0.787646
9019.52,64913.6,9106,2891.52,64499.2,2938,1171,39735.4,26.25,-0.483146,0.788821
13973.8,73486.1,12462,8313.84,70186.2,7763,1177,61670.2,18,-0.48306,0.789997
11278.1,71048.8,10403,7169.04,70260.2,6687,1183,46311.1,-1.5,-0.482973,0.791172
21648.6,75829.2,18710,15603.1,72388.9,14126,1189,221425,9,-0.482887,0.791172
15809.3,66072.1,15681,6280.56,64748,6357,1195,19564.6,-13.5,-0.4828,0.792348
9895.68,64548.9,10047,3539.52,64976.5,3570,1201,99731.5,24,-0.482714,0.793524
19616.6,73450,17503,13104.7,72524.1,11842,1207,119210,16.5,-0.482627,0.793524
11601.9,73626.7,10327,6343.2,71834.8,5787,1213,82561.7,-21.75,-0.482541,0.794699
16091.5,74866.8,14086,11859.1,70925.3,10958,1219,30933.4,11.25,-0.482455,0.795875
12071.7,67537.1,11714,6652.8,69404.3,6282,1237,420.48,3.75,-0.482195,0.798226
13988.5,66301.4,13827,6174.72,65279.3,6199,1243,131284,3,-0.482109,0.799401
13404.8,73098.4,12018,6320.16,70226.9,5898,1249,85007.5,56.25,-0.482022,0.800577
18480,74561.7,16243,12744,72404.9,11535,1255,88354.8,19.5,-0.481936,0.801753
22652.8,74635.5,19891,11512.1,72662.6,10383,1261,211182,12,-0.48185,0.802928
19340.8,74167.3,17090,12437.3,71342.6,11425,1267,40835.5,29.25,-0.481763,0.804104
10585,70333.2,9863,5554.08,68794.6,5291,1273,168672,-16.5,-0.481677,0.804104
23553.3,77923.5,19809,14593.7,72078.6,13269,1279,191346,59.25,-0.48159,0.805279
15894.4,73991.7,14078,10938.2,69630.8,10295,1285,69336.7,30.75,-0.481504,0.807631
15609.6,66020.7,15495,5901.84,64766.1,5972,1291,55874.2,15.75,-0.481417,0.808806
18165.8,74133.6,16059,14896.1,70916,13766,1303,50449.7,53.25,-0.481245,0.809982
12626.6,63973.3,12935,3353.04,64346.9,3415,1309,77105.5,49.5,-0.481158,0.811157
15781.1,75829,13639,10405.4,71071.5,9595,1315,129254,35.25,-0.481072,0.813509
12643.2,71282.2,11624,6843.6,70831,6332,1333,147961,10.5,-0.480812,0.814684
13731.2,64563.6,13938,4126.32,64540,4190,1339,80431.2,13.5,-0.480726,0.817035
15536.6,68030.3,14967,8490.96,68699.2,8100,1345,24608.2,5.25,-0.48064,0.818211
11481.6,64694.2,11631,3935.52,64447.3,4002,1351,280.08,-12.75,-0.480553,0.819386
18442.9,66932.8,18058,9095.76,67631,8814,1357,39866.4,27,-0.480467,0.820562
9878.4,63902,10131,3643.2,64547.4,3699,1363,486.72,12.75,-0.48038,0.821738
21199.4,73439.1,18918,12002.4,72603.8,10834,1381,108785,25.5,-0.480121,0.824089
17498.2,65959.1,17386,6171.84,65758,6151,1387,59439.6,12,-0.480035,0.825264
8617.6,63463.6,8899,3890.16,66409.4,3839,1393,79246.1,6.75,-0.479948,0.82644
15476.5,68642.8,14776,8858.16,68913.6,8424,1399,66120.5,38.25,-0.479862,0.827616
18473,75883.4,15954,11347.2,75405.6,9862,1405,84760.6,39.75,-0.479775,0.827616
11863.7,64421.1,12069,4444.56,65163,4470,1411,77096.9,15.75,-0.479689,0.828791
12805.1,70290.3,11939,6528.96,70202.1,6095,1417,99193,22.5,-0.479602,0.829967
14490.2,66010.9,14386,4727.52,65280.8,4746,1429,77635.4,-12,-0.47943,0.831142
21338.2,74694.1,18722,11236.3,71570,10289,1435,113279,14.25,-0.479343,0.831142
13666.6,70579.3,12690,6883.2,69850.9,6458,1441,80038.1,3.75,-0.479257,0.832318
14252.2,69542.8,13431,4884.48,70214.8,4559,1447,34351.9,14.25,-0.47917,0.833494
21865,83514.5,17158,14308.6,76699.3,12226,1453,196115,27,-0.479084,0.833494
11253.1,67251.9,10966,5685.84,68725.1,5422,1459,38431.4,0,-0.478997,0.834669
11778.6,73586.2,10490,7014.24,71747.3,6407,1465,143710,14.25,-0.478911,0.835845
12245.8,65035.5,12340,3483.36,64505.6,3539,1477,45784.8,4.5,-0.478738,0.839372
11807.4,63703.6,12147,3402.72,63587.3,3507,1483,117566,-14.25,-0.478652,0.839372
17804.8,82323.6,14174,14168.2,73308.4,12666,1495,65147,52.5,-0.478479,0.841723
9466.24,69015.4,8989,5112,69147.6,4845,1507,67287.6,15.75,-0.478306,0.842898
22223.4,73386.6,19846,11965,70630.1,11102,1513,49322.9,9,-0.47822,0.844074
10284.8,64089.1,10517,5431.68,65231.9,5457,1519,71429,-18,-0.478133,0.84525
9017.6,63717.2,9275,3765.6,64434,3830,1525,411.84,-8.25,-0.478047,0.84525
13504,69286.6,12773,6118.56,69555.2,5765,1531,24703.9,32.25,-0.47796,0.846425
11191.7,69581.4,10541,6207.84,69131.2,5885,1537,127350,30,-0.477874,0.846425
15819.5,73346.2,14135,9869.76,69859,9259,1543,80227.4,15,-0.477787,0.847601
18093.4,74746.1,15864,12489.8,71575.2,11436,1549,35814.2,31.5,-0.477701,0.848776
19718.4,68671.8,18818,12190.3,70091.7,11398,1555,73567.4,45.75,-0.477615,0.848776
20533.1,67825.5,19840,12749.8,64999.5,12855,1561,2026.08,12,-0.477528,0.849952
24166.4,92840.7,17059,14590.1,87891.9,10879,1579,61846.6,35.25,-0.477269,0.852303
8057.6,74637.9,7075,6707.52,71233.8,6171,1585,401.04,24.75,-0.477182,0.853479
16682.9,66002.4,16565,5558.4,64852.3,5617,1591,38849.8,-4.5,-0.477096,0.854654
11077.1,63803,11378,3765.6,63570.9,3882,1597,381.6,7.5,-0.47701,0.85583
19129,67356.3,18612,8604,66746.2,8448,1603,93748.3,30.75,-0.476923,0.857005
14563.2,74066,12886,10268.6,70734.2,9514,1609,89603.3,19.5,-0.476837,0.858181
17034.9,66106,16888,6541.92,64451.5,6652,1615,29885,42,-0.47675,0.858181
9742.72,63211.5,10101,3212.64,64722.9,3253,1621,45385.2,12,-0.476664,0.859357
20215,67314.3,19681,11389.7,66450.1,11233,1627,1320.48,24.75,-0.476577,0.860532
11658.9,64906.2,11772,4805.28,64519.3,4881,1633,440.64,18,-0.476491,0.860532
11575,72225.3,10503,6696.72,70468.3,6228,1639,6018.48,14.25,-0.476404,0.861708
12568.3,65133.4,12646,4568.4,65513.1,4570,1645,53658.7,-6,-0.476318,0.862883
9824.64,64283.9,10016,3775.68,63971.8,3868,1651,38551,-11.25,-0.476232,0.864059
14041,64102.3,14355,4860,63918.3,4983,1663,4294.08,-15,-0.476059,0.86641
18387.8,69568.5,17322,11003.8,66360.8,10867,1669,2079.36,5.25,-0.475972,0.86641
17718.4,71458,16250,11913.1,69000.3,11315,1675,74113.2,16.5,-0.475886,0.867586
13314.6,72275.6,12073,6521.04,71645.1,5965,1687,199320,26.25,-0.475713,0.869937
15218.6,64504.2,15462,4574.88,64924.1,4618,1699,93052.8,44.25,-0.47554,0.871112
17883.5,74056.3,15826,8824.32,70405.5,8214,1705,129015,57.75,-0.475454,0.872288
13920.6,72966.7,12503,6786.72,70032.2,6351,1711,168789,33,-0.475367,0.873464
7070.72,63845,7258,2417.76,63711.4,2487,1717,27246.2,-27.75,-0.475281,0.874639
16625.3,79932.1,13631,11637.4,72427.9,10530,1723,20269.4,43.5,-0.475194,0.875815
16698.9,68240.8,16037,10777,67489.6,10465,1729,83929.7,42.75,-0.475108,0.87699
11299.2,65329,11335,3615.84,64833.8,3655,1735,35012.9,21.75,-0.475022,0.878166
24081.9,82169.7,19207,17830.1,76199,15335,1741,141502,30.75,-0.474935,0.879342
21407.4,69889,20074,10406.2,70899.1,9619,1753,99018.7,29.25,-0.474762,0.880517
14208.6,71877.8,12955,7762.32,71821.5,7083,1759,14586.5,22.5,-0.474676,0.881693
21517.4,72098.1,19559,13788,70688.5,12783,1783,19836,13.5,-0.47433,0.88522
12419.2,71363.9,11405,5666.4,69737.7,5325,1789,56868.5,49.5,-0.474244,0.88522
19600.6,73918,17378,13036.3,72048.3,11858,1795,36225.4,62.25,-0.474157,0.886395
17690.9,71325.1,16255,10651,70237.6,9938,1801,71041,37.5,-0.474071,0.887571
16576,80094.7,13563,11035.4,72394.3,9990,1813,1218.96,29.25,-0.473898,0.888746
9638.4,64455.3,9800,3098.88,63864.2,3180,1819,14639,-9,-0.473812,0.888746
21701.8,74886.6,18992,12800.2,71845.8,11676,1825,4885.92,21,-0.473725,0.889922
19505.3,71222.3,17948,10575.4,68818.1,10071,1831,171654,12,-0.473639,0.891098
11984,68276.4,11503,6840.72,68992.5,6498,1837,98101.4,14.25,-0.473552,0.892273
18880.6,79953.6,15476,10562.4,72803.7,9508,1843,45648.7,21.75,-0.473466,0.893449
10940.8,63746.1,11248,4084.56,64301.2,4163,1867,69465.6,36.75,-0.47312,0.896976
11632.6,67692.8,11262,5442.48,67874.1,5255,1879,88634.2,15.75,-0.472947,0.900502
10499.2,64535.3,10662,3625.2,64665.5,3674,1885,465.84,13.5,-0.472861,0.900502
15098.9,75174.4,13163,8393.04,69599.7,7903,1891,144145,-1.5,-0.472774,0.901678
9978.88,63727.9,10262,3825.36,63856,3926,1897,76459.7,-32.25,-0.472688,0.902853
12743.7,64332.9,12982,4696.56,64635.4,4762,1903,76101.1,-9,-0.472602,0.904029
12295,64404.7,12511,4513.68,64615.2,4578,1909,45231.8,-4.5,-0.472515,0.904029
14045.4,64360.4,14302,4569.84,63694,4702,1915,82949,-22.5,-0.472429,0.905205
25969.3,80805.4,21062,14302.8,75629.2,12394,1921,233112,0.75,-0.472342,0.90638
20112.6,76897.6,17141,15067.4,72773.2,13569,1927,21540.2,39.75,-0.472256,0.90638
11988.5,74050.6,10610,6667.92,72661.9,6014,1933,111569,48,-0.472169,0.907556
12676.5,64325.6,12915,4085.28,65508.4,4087,1939,55399.7,5.25,-0.472083,0.909907
10736,67278.1,10458,6188.4,69744.3,5815,1945,21265.9,16.5,-0.471997,0.911083
13044.5,64724.6,13208,5042.88,64852.9,5096,1951,29061.4,13.5,-0.47191,0.912258
10059.5,64311.8,10251,4161.6,64721.1,4214,1963,62183.5,27,-0.471737,0.913434
19257,73071.9,17271,11818.1,71403.1,10847,1969,85122,15,-0.471651,0.914609
12733.4,70326.9,11866,7189.92,69973.1,6734,1975,30723.1,15,-0.471564,0.915785
14542.1,69493.2,13714,8373.6,69167.2,7934,1981,62807.8,24.75,-0.471478,0.915785
17278.1,70353.3,16095,8466.48,69899.1,7938,1993,35640.7,18.75,-0.471305,0.918136
19128.3,65784.7,19056,8902.08,64996.3,8976,1999,838.8,14.25,-0.471219,0.919312
11827.2,64138,12085,4176,63749.9,4293,2011,67747.7,48,-0.471046,0.921663
14773.1,73290.8,13210,8158.32,70471,7587,2017,59706.7,26.25,-0.470959,0.921663
14882.6,71647.9,13613,7732.08,72009.3,7037,2023,8509.68,69.75,-0.470873,0.922838
19194.2,77310.2,16271,10737.4,73338.6,9595,2029,178908,22.5,-0.470787,0.924014
10906.2,63505.2,11255,3821.76,64502.4,3883,2035,1193.76,27.75,-0.4707,0.92519
13164.8,71356.2,12091,7858.8,69599.2,7400,2041,28504.8,40.5,-0.470614,0.926365
18707.2,72036.8,17019,11479.7,68306.9,11014,2047,93441.6,36,-0.470527,0.927541
16392.3,64132.7,16751,6294.24,63510.3,6495,2053,285.84,-12.75,-0.470441,0.927541
14536.3,77564.9,12282,10787.8,72296.4,9779,2059,14371.2,33.75,-0.470354,0.928716
11874.6,70752.9,10999,5680.8,71664.5,5195,2065,40881.6,-7.5,-0.470268,0.929892
15599.4,75671.3,13510,9423.36,71034,8694,2077,157581,19.5,-0.470095,0.931068
10357.1,64786.1,10477,3892.32,64579,3950,2083,33350.4,15.75,-0.470009,0.932243
14645.1,80001.9,11997,10361.5,73355.6,9257,2089,36178.6,41.25,-0.469922,0.933419
8209.28,65530.2,8210,4900.32,67953.3,4726,2101,7310.16,-8.25,-0.469749,0.934594
12466.6,77236.6,10578,8657.28,72238.8,7854,2107,132654,0.75,-0.469663,0.93577
